a1	ā
fang4	fàng
fang5	fang
fei1	fēi
fei2	féi
fei3	fěi
fei4	fèi
fei5	fei
fen1	fēn
fen2	fén
fen3	fěn
fen4	fèn
fen5	fen
feng1	fēng
feng2	féng
feng3	fěng
feng4	fèng
feng5	feng
fo1	fō
fo2	fó
fo3	fǒ
fo4	fò
fo5	fo
fou1	fōu
fou2	fóu
fou3	fǒu
fou4	fòu
fou5	fou
fu1	fū
fu2	fú
fu3	fǔ
fu4	fù
fu5	fu
ga1	gā
ga2	gá
ga3	gǎ
ga4	gà
ga5	ga
gai1	gāi
gai2	gái
gai3	gǎi
gai4	gài
gai5	gai
gan1	gān
gan2	gán
gan3	gǎn
gan4	gàn
gan5	gan
gang1	gāng
gang2	gáng
gang3	gǎng
gang4	gàng
gang5	gang
gao1	gāo
gao2	gáo
gao3	gǎo
gao4	gào
gao5	gao
ge1	gē
ge2	gé
ge3	gě
ge4	gè
ge5	ge
gei1	gēi
gei2	géi
gei3	gěi
gei4	gèi
gei5	gei
gen1	gēn
gen2	gén
gen3	gěn
gen4	gèn
gen5	gen
geng1	gēng
geng2	géng
geng3	gěng
geng4	gèng
geng5	geng
gong1	gōng
gong2	góng
gong3	gǒng
gong4	gòng
gong5	gong
gou1	gōu
gou2	góu
gou3	gǒu
gou4	gòu
gou5	gou
gu1	gū
gu2	gú
gu3	gǔ
gu4	gù
gu5	gu
gua1	guā
gua2	guá
gua3	guǎ
gua4	guà
gua5	gua
guai1	guāi
guai2	guái
guai3	guǎi
guai4	guài
guai5	guai
guan1	guān
guan2	guán
guan3	guǎn
guan4	guàn
guan5	guan
guang1	guāng
guang2	guáng
guang3	guǎng
guang4	guàng
guang5	guang
gui1	guī
gui2	guí
gui3	guǐ
gui4	guì
gui5	gui
gun1	gūn
gun2	gún
gun3	gǔn
gun4	gùn
gun5	gun
guo1	guō
guo2	guó
guo3	guǒ
guo4	guò
guo5	guo
ha1	hā
ha2	há
ha3	hǎ
ha4	hà
ha5	ha
hai1	hāi
hai2	hái
hai3	hǎi
hai4	hài
hai5	hai
han1	hān
han2	hán
han3	hǎn
han4	hàn
han5	han
hang1	hāng
hang2	háng
hang3	hǎng
hang4	hàng
hang5	hang
hao1	hāo
hao2	háo
hao3	hǎo
hao4	hào
hao5	hao
he1	hē
he2	hé
he3	hě
he4	hè
he5	he
hei1	hēi
hei2	héi
hei3	hěi
hei4	hèi
hei5	hei
hen1	hēn
hen2	hén
hen3	hěn
hen4	hèn
hen5	hen
heng1	hēng
heng2	héng
heng3	hěng
heng4	hèng
heng5	heng
hong1	hōng
hong2	hóng
hong3	hǒng
hong4	hòng
hong5	hong
hou1	hōu
hou2	hóu
hou3	hǒu
hou4	hòu
hou5	hou
hu1	hū
hu2	hú
hu3	hǔ
hu4	hù
hu5	hu
hua1	huā
hua2	huá
hua3	huǎ
hua4	huà
hua5	hua
huai1	huāi
huai2	huái
huai3	huǎi
huai4	huài
huai5	huai
huan1	huān
huan2	huán
huan3	huǎn
huan4	huàn
huan5	huan
huang1	huāng
huang2	huáng
huang3	huǎng
huang4	huàng
huang5	huang
hui1	huī
hui2	huí
hui3	huǐ
hui4	huì
hui5	hui
hun1	hūn
hun2	hún
hun3	hǔn
hun4	hùn
hun5	hun
huo1	huō
huo2	huó
huo3	huǒ
huo4	huò
huo5	huo
ji1	jī
ji2	jí
ji3	jǐ
ji4	jì
ji5	ji
jia1	jiā
jia2	jiá
jia3	jiǎ
jia4	jià
jia5	jia
jian1	jiān
jian2	jián
jian3	jiǎn
jian4	jiàn
jian5	jian
jiang1	jiāng
jiang2	jiáng
jiang3	jiǎng
jiang4	jiàng
jiang5	jiang
jiao1	jiāo
jiao2	jiáo
jiao3	jiǎo
jiao4	jiào
jiao5	jiao
jie1	jiē
jie2	jié
jie3	jiě
jie4	jiè
jie5	jie
jin1	jīn
jin2	jín
jin3	jǐn
jin4	jìn
jin5	jin
jing1	jīng
jing2	jíng
jing3	jǐng
jing4	jìng
jing5	jing
jiong1	jiōng
jiong2	jióng
jiong3	jiǒng
jiong4	jiòng
jiong5	jiong
jiu1	jiū
jiu2	jiú
jiu3	jiǔ
jiu4	jiù
jiu5	jiu
ju1	ju
ju2	ju
ju3	ju
ju4	ju
ju5	ju
juan1	juān
juan2	juán
juan3	juǎn
juan4	juàn
juan5	juan
jue1	juē
jue2	jué
jue3	juě
jue4	juè
jue5	jue
ka1	kā
ka2	ká
ka3	kǎ
ka4	kà
ka5	ka
kai1	kāi
kai2	kái
kai3	kǎi
kai4	kài
